epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46784,1.92876,3.33956,1.71231,0.02208,0.55789,0.03301,0.01433,1.82457,3.20392,1.68636,4e-05,4e-05,4e-05
2,11.5148,1.91975,3.3371,1.65511,0.026,0.65684,0.0568,0.02536,1.52007,3.15765,1.44804,9.901e-05,9.901e-05,9.901e-05
3,16.4274,1.65815,3.21473,1.43679,0.03158,0.79789,0.12787,0.05898,1.41906,3.09453,1.31438,0.000156832,0.000156832,0.000156832
4,21.1719,1.63163,2.96513,1.28788,0.03525,0.89053,0.31191,0.13894,1.53294,2.94204,1.25476,0.000213466,0.000213466,0.000213466
5,25.7167,1.5529,2.5625,1.19914,0.03583,0.90526,0.29843,0.12254,1.6818,2.88555,1.31268,0.000268912,0.000268912,0.000268912
6,30.3159,1.61447,2.18364,1.27487,0.03333,0.84211,0.3645,0.15345,1.55338,2.85088,1.24558,0.00032317,0.00032317,0.00032317
7,35.5355,1.55807,2.05659,1.23335,0.03633,0.91789,0.40153,0.18683,1.50725,2.77781,1.16506,0.00037624,0.00037624,0.00037624
8,41.4717,1.56437,1.84659,1.23031,0.03767,0.95158,0.34215,0.15105,1.71883,2.74262,1.24545,0.000428122,0.000428122,0.000428122
9,46.9141,1.51442,1.66103,1.22404,0.03583,0.90526,0.35262,0.15956,1.62559,2.70596,1.24867,0.000478816,0.000478816,0.000478816
10,53.0851,1.61115,1.58731,1.25165,0.03517,0.88842,0.37952,0.16796,1.60752,2.65771,1.24087,0.000528322,0.000528322,0.000528322
11,59.2393,1.63282,1.46208,1.26745,0.64389,0.28632,0.37584,0.17904,1.47062,2.55856,1.17034,0.00057664,0.00057664,0.00057664
12,65.3272,1.46471,1.31847,1.18589,0.85945,0.18947,0.39626,0.19533,1.39911,2.48478,1.12305,0.00062377,0.00062377,0.00062377
13,71.4999,1.36763,1.26971,1.2037,0.79604,0.24211,0.41014,0.2026,1.42248,2.46069,1.19057,0.000669712,0.000669712,0.000669712
14,77.6708,1.4717,1.17533,1.22752,0.73334,0.26053,0.36503,0.16486,1.49667,2.52363,1.27104,0.000714466,0.000714466,0.000714466
15,83.9105,1.48038,1.20665,1.21205,0.76683,0.25474,0.33637,0.15365,1.51,2.62072,1.31311,0.000758032,0.000758032,0.000758032
16,90.0938,1.40797,1.14766,1.16599,0.77696,0.22734,0.30122,0.13333,1.5482,2.77918,1.37298,0.00080041,0.00080041,0.00080041
17,96.5398,1.40337,1.14689,1.19062,0.83614,0.16842,0.3229,0.15569,1.45053,2.75735,1.32378,0.0008416,0.0008416,0.0008416
18,104.065,1.32942,1.09077,1.15481,0.83093,0.18624,0.4227,0.23775,1.37373,2.47434,1.21353,0.000881602,0.000881602,0.000881602
19,112.442,1.31183,1.10947,1.15584,0.88442,0.25776,0.5252,0.29539,1.40645,2.37028,1.24631,0.000920416,0.000920416,0.000920416
20,120.578,1.20262,1.06239,1.12369,0.96444,0.34254,0.64845,0.37977,1.34117,2.23378,1.20434,0.000958042,0.000958042,0.000958042
21,128.748,1.3674,1.10878,1.16235,0.94384,0.35385,0.62795,0.36247,1.37334,2.30607,1.25691,0.00099448,0.00099448,0.00099448
22,137.798,1.26949,1.04361,1.12806,0.92543,0.39191,0.6247,0.35141,1.45865,2.25615,1.32487,0.00102973,0.00102973,0.00102973
23,147.143,1.21186,1.08492,1.13607,0.87567,0.45965,0.64744,0.36908,1.46842,2.12375,1.32293,0.00106379,0.00106379,0.00106379
24,155.538,1.24676,1.01812,1.15342,0.78232,0.41613,0.52395,0.26036,1.57165,2.24392,1.39132,0.00109667,0.00109667,0.00109667
25,165.441,1.29043,1.01596,1.14302,0.76597,0.49611,0.56663,0.29054,1.45278,2.09723,1.29365,0.00112835,0.00112835,0.00112835
26,174.778,1.21146,1.02842,1.1392,0.71253,0.48842,0.52787,0.23393,1.60626,2.15515,1.38407,0.00115885,0.00115885,0.00115885
27,185.35,1.25718,1.00199,1.12867,0.81424,0.5629,0.66484,0.38869,1.27456,1.86119,1.18076,0.00118816,0.00118816,0.00118816
28,195.066,1.21784,1.00947,1.12387,0.80819,0.55579,0.64569,0.39363,1.26982,1.80087,1.19502,0.00121628,0.00121628,0.00121628
29,200.817,1.1775,1.01556,1.08974,0.80819,0.55579,0.64569,0.39363,1.26982,1.80087,1.19502,0.00124322,0.00124322,0.00124322
30,211.858,1.16056,0.97908,1.09484,0.80787,0.57684,0.68041,0.42064,1.252,1.61414,1.18457,0.00126896,0.00126896,0.00126896
31,223.192,1.22099,1.05596,1.14451,0.79905,0.56925,0.66381,0.40547,1.27984,1.48074,1.21217,0.00129352,0.00129352,0.00129352
32,235.729,1.3235,1.04185,1.18925,0.79793,0.55579,0.63481,0.40248,1.20733,1.48213,1.13225,0.00131689,0.00131689,0.00131689
33,243.748,1.27093,0.99839,1.10361,0.82783,0.7288,0.83727,0.54016,1.20733,1.48213,1.13225,0.00133907,0.00133907,0.00133907
34,255.435,1.30628,0.96904,1.0952,0.81074,0.57718,0.66548,0.40516,1.16877,1.51697,1.10419,0.0013466,0.0013466,0.0013466
35,267.597,1.19608,0.97394,1.11155,0.83415,0.59295,0.68239,0.4115,1.22598,1.32621,1.1573,0.0013268,0.0013268,0.0013268
36,280.433,1.20851,0.95448,1.08803,0.79633,0.51789,0.56518,0.32722,1.30647,1.23778,1.23612,0.001307,0.001307,0.001307
37,289.032,1.15154,0.96578,1.08871,0.83444,0.75789,0.82789,0.50979,1.30647,1.23778,1.23612,0.0012872,0.0012872,0.0012872
38,301.707,1.26247,0.93644,1.09269,0.78078,0.60735,0.64288,0.37632,1.28405,1.24053,1.22196,0.0012674,0.0012674,0.0012674
39,314.899,1.28721,0.99045,1.14713,0.81131,0.70608,0.77981,0.48399,1.22877,1.2223,1.18881,0.0012476,0.0012476,0.0012476
40,327.051,1.22739,0.94457,1.07443,0.82654,0.61895,0.69429,0.45889,1.1306,1.12268,1.13934,0.0012278,0.0012278,0.0012278
41,334.996,1.21828,0.94445,1.0705,0.84022,0.75279,0.84628,0.57295,1.1306,1.12268,1.13934,0.001208,0.001208,0.001208
42,347.081,1.21916,0.92781,1.07799,0.79347,0.53384,0.59495,0.39504,1.11795,1.1945,1.12287,0.0011882,0.0011882,0.0011882
43,358.428,1.15958,0.89831,1.05496,0.77029,0.48421,0.53941,0.28917,1.40718,1.44568,1.27849,0.0011684,0.0011684,0.0011684
44,369.556,1.11832,0.951,1.07613,0.77446,0.51368,0.5554,0.29934,1.41584,1.37545,1.2782,0.0011486,0.0011486,0.0011486
45,377.967,1.16613,0.94919,1.09657,0.80117,0.68842,0.76729,0.42865,1.41584,1.37545,1.2782,0.0011288,0.0011288,0.0011288
46,390.937,1.10098,0.90221,1.07235,0.80687,0.68,0.75057,0.4691,1.21671,1.10724,1.16523,0.001109,0.001109,0.001109
47,404.816,1.15525,0.87397,1.07768,0.81906,0.56632,0.64267,0.41582,1.16721,0.98022,1.16146,0.0010892,0.0010892,0.0010892
48,417.754,1.1186,0.89882,1.07114,0.84489,0.62526,0.67957,0.46267,1.06207,0.913,1.08811,0.0010694,0.0010694,0.0010694
49,426.546,1.13821,0.92256,1.08475,0.85853,0.84324,0.91145,0.63217,1.06207,0.913,1.08811,0.0010496,0.0010496,0.0010496
50,439.124,1.07255,0.90139,1.09491,0.86366,0.84842,0.91185,0.64378,1.01984,0.87728,1.05588,0.0010298,0.0010298,0.0010298
51,449.962,1.06722,0.88744,1.05853,0.88612,0.70316,0.78953,0.48208,1.32497,0.98916,1.20564,0.00101,0.00101,0.00101
52,462.319,1.17659,0.86077,1.08708,0.89383,0.71579,0.78434,0.49987,1.22882,0.96818,1.14466,0.0009902,0.0009902,0.0009902
53,470.2,1.09609,0.84636,1.06279,0.91303,0.8399,0.93334,0.60045,1.22882,0.96818,1.14466,0.0009704,0.0009704,0.0009704
54,483.35,1.10438,0.8361,1.04319,0.93351,0.86316,0.94836,0.68624,0.96304,0.8435,1.01448,0.0009506,0.0009506,0.0009506
55,495.401,1.06958,0.81804,1.03779,0.89525,0.67789,0.73889,0.51967,1.01773,0.84762,1.03542,0.0009308,0.0009308,0.0009308
56,507.943,1.11782,0.83853,1.08633,0.933,0.87951,0.9568,0.68063,0.97588,0.81121,1.0131,0.000911,0.000911,0.000911
57,515.704,1.05754,0.79171,1.02194,0.933,0.87951,0.9568,0.68063,0.97588,0.81121,1.0131,0.0008912,0.0008912,0.0008912
58,528.928,1.0849,0.81908,1.04173,0.91786,0.73895,0.79974,0.58577,0.88023,0.77889,0.97374,0.0008714,0.0008714,0.0008714
59,540.489,1.08651,0.82795,1.0183,0.91221,0.89685,0.95817,0.71349,0.90525,0.7882,0.98076,0.0008516,0.0008516,0.0008516
60,554.604,1.04431,0.80196,1.03013,0.89175,0.65905,0.69437,0.51684,0.88672,0.75378,0.97581,0.0008318,0.0008318,0.0008318
61,563.08,0.9978,0.80156,1.01583,0.92079,0.90552,0.96273,0.71924,0.88672,0.75378,0.97581,0.000812,0.000812,0.000812
62,574.622,1.00557,0.77483,1.00683,0.94329,0.77042,0.83199,0.61035,0.87717,0.72484,0.97686,0.0007922,0.0007922,0.0007922
63,587.111,0.98295,0.9428,1.06001,0.93041,0.76,0.81244,0.60108,0.87752,0.72044,0.97565,0.0007724,0.0007724,0.0007724
64,599.694,1.01089,0.77177,0.99286,0.93843,0.89845,0.96392,0.7291,0.85789,0.74141,0.97019,0.0007526,0.0007526,0.0007526
65,606.553,0.98275,0.74853,0.99522,0.93843,0.89845,0.96392,0.7291,0.85789,0.74141,0.97019,0.0007328,0.0007328,0.0007328
66,617.401,0.91616,0.72484,0.98896,0.93861,0.88211,0.94711,0.71635,0.86622,0.74479,0.9775,0.000713,0.000713,0.000713
67,629.93,0.93926,0.7655,0.97858,0.953,0.85378,0.92001,0.6867,0.88635,0.72237,0.98666,0.0006932,0.0006932,0.0006932
68,643.113,0.94588,0.76201,1.00944,0.9167,0.68842,0.73037,0.54194,0.88747,0.70362,0.98091,0.0006734,0.0006734,0.0006734
69,652.309,0.94788,0.74791,0.97403,0.93932,0.9125,0.96975,0.72628,0.88747,0.70362,0.98091,0.0006536,0.0006536,0.0006536
70,663.796,0.9425,0.73458,1.00339,0.93515,0.85895,0.90418,0.675,0.868,0.67824,0.9687,0.0006338,0.0006338,0.0006338
71,675.478,0.86344,0.73598,0.98659,0.95845,0.90316,0.97355,0.74218,0.80697,0.66053,0.94398,0.000614,0.000614,0.000614
72,687.884,0.93414,0.73578,0.99292,0.95839,0.90737,0.9725,0.74951,0.77207,0.65121,0.93172,0.0005942,0.0005942,0.0005942
73,695.575,0.8993,0.70718,0.97772,0.95839,0.90737,0.9725,0.74951,0.77207,0.65121,0.93172,0.0005744,0.0005744,0.0005744
74,709.636,0.93118,0.73917,0.98653,0.94934,0.78898,0.84044,0.6458,0.78566,0.64281,0.93656,0.0005546,0.0005546,0.0005546
75,722.531,0.91617,0.71173,0.963,0.94301,0.66189,0.70649,0.53823,0.82067,0.63493,0.95454,0.0005348,0.0005348,0.0005348
76,736.1,0.90882,0.73466,0.99037,0.95857,0.93474,0.97834,0.75957,0.81839,0.62236,0.95412,0.000515,0.000515,0.000515
77,744.671,0.87576,0.69591,0.95777,0.95857,0.93474,0.97834,0.75957,0.81839,0.62236,0.95412,0.0004952,0.0004952,0.0004952
78,758.766,0.89896,0.69292,0.9544,0.9736,0.93172,0.98049,0.77336,0.77881,0.60943,0.93735,0.0004754,0.0004754,0.0004754
79,771.065,0.87645,0.71197,0.96387,0.95263,0.78526,0.82524,0.65603,0.74722,0.59664,0.92526,0.0004556,0.0004556,0.0004556
80,784.19,0.87091,0.68504,0.94627,0.96788,0.89053,0.9336,0.7493,0.72904,0.5895,0.92104,0.0004358,0.0004358,0.0004358
81,792.358,0.82556,0.654,0.95143,0.96981,0.93895,0.98117,0.78972,0.72904,0.5895,0.92104,0.000416,0.000416,0.000416
82,803.755,0.8488,0.69644,0.96251,0.97068,0.93263,0.98296,0.79078,0.73504,0.58401,0.9232,0.0003962,0.0003962,0.0003962
83,817.204,0.90753,0.67985,0.96342,0.92158,0.53895,0.56679,0.44157,0.76225,0.58746,0.93307,0.0003764,0.0003764,0.0003764
84,831.942,0.90953,0.69088,0.95721,0.95256,0.63408,0.67317,0.53114,0.75462,0.58726,0.93109,0.0003566,0.0003566,0.0003566
85,841.13,0.86873,0.66522,0.96346,0.96316,0.93684,0.9834,0.77812,0.75462,0.58726,0.93109,0.0003368,0.0003368,0.0003368
86,854.559,0.8064,0.65303,0.93443,0.96294,0.84842,0.88927,0.70698,0.71767,0.57878,0.9173,0.000317,0.000317,0.000317
87,869.534,0.86563,0.68049,0.98534,0.96673,0.91767,0.96292,0.778,0.69059,0.57062,0.90645,0.0002972,0.0002972,0.0002972
